"state","district_name","version","nrecords","district_file","status"
"DD","Diu",2020-12-15 13:11:00,104,"Diu.pdf","TRUE"
"GA","North Goa",2020-12-15 13:11:00,104,"North Goa.pdf","TRUE"
"GA","South Goa",2020-12-15 13:11:00,104,"South Goa.pdf","TRUE"
"GJ","Ahmedabad",2020-12-15 13:11:00,104,"Ahmedabad.pdf","TRUE"
"GJ","Amreli",2020-12-15 13:11:00,104,"Amreli.pdf","TRUE"
"GJ","Anand",2020-12-15 13:11:00,104,"Anand.pdf","TRUE"
"GJ","Aravali",2020-12-15 13:11:00,104,"Aravali.pdf","TRUE"
"GJ","Banaskantha",2020-12-15 13:11:00,104,"Banaskantha.pdf","TRUE"
"GJ","Bharuch",2020-12-15 13:11:00,104,"Bharuch.pdf","TRUE"
"GJ","Bhavnagar",2020-12-15 13:11:00,104,"Bhavnagar.pdf","TRUE"
"GJ","Botad",2020-12-15 13:11:00,104,"Botad.pdf","TRUE"
"GJ","Chhota Udaipur",2020-12-15 13:11:00,104,"Chhota Udaipur.pdf","TRUE"
"GJ","Dahod",2020-12-15 13:11:00,104,"Dahod.pdf","TRUE"
"GJ","Devbhumi Dwarka",2020-12-15 13:11:00,104,"Devbhumi Dwarka.pdf","TRUE"
"GJ","Gandhinagar",2020-12-15 13:11:00,104,"Gandhinagar.pdf","TRUE"
"GJ","Gir Somnath",2020-12-15 13:11:00,104,"Gir Somnath.pdf","TRUE"
"GJ","Jamnagar",2020-12-15 13:11:00,104,"Jamnagar.pdf","TRUE"
"GJ","Junagadh",2020-12-15 13:11:00,104,"Junagadh.pdf","TRUE"
"GJ","Kachchh",2020-12-15 13:11:00,104,"Kachchh.pdf","TRUE"
"GJ","Mahesana",2020-12-15 13:11:00,104,"Mahesana.pdf","TRUE"
"GJ","Mahisagar",2020-12-16 23:17:51,104,"Mahisagar.pdf","TRUE"
"GJ","Morbi",2020-12-15 13:11:00,104,"Morbi.pdf","TRUE"
"GJ","Narmada",2020-12-15 13:11:00,104,"Narmada.pdf","TRUE"
"GJ","Navsari",2020-12-15 13:11:00,104,"Navsari.pdf","TRUE"
"GJ","Panchmahal",2020-12-15 13:11:00,104,"Panchmahal.pdf","TRUE"
"GJ","Patan",2020-12-15 13:11:00,104,"Patan.pdf","TRUE"
"GJ","Porbandar",2020-12-15 13:11:00,104,"Porbandar.pdf","TRUE"
"GJ","Rajkot",2020-12-15 13:11:00,104,"Rajkot.pdf","TRUE"
"GJ","Sabarkantha",2020-12-15 13:11:00,104,"Sabarkantha.pdf","TRUE"
"GJ","Surat",2020-12-15 13:11:00,104,"Surat.pdf","TRUE"
"GJ","Surendranagar",2020-12-15 13:11:00,104,"Surendranagar.pdf","TRUE"
"GJ","Tapi",2020-12-15 13:11:00,104,"Tapi.pdf","TRUE"
"GJ","The Dangs",2020-12-15 13:11:00,104,"The Dangs.pdf","TRUE"
"GJ","Vadodara",2020-12-15 13:11:00,104,"Vadodara.pdf","TRUE"
"GJ","Valsad",2020-12-15 13:11:00,104,"Valsad.pdf","TRUE"
"JK","Anantnag",2020-12-15 13:11:00,104,"Anantnag.pdf","TRUE"
"JK","Badgam",2020-12-15 13:11:00,104,"Badgam.pdf","TRUE"
"JK","Bandipore",2020-12-15 13:11:00,104,"Bandipore.pdf","TRUE"
"JK","Baramula",2020-12-15 13:11:00,104,"Baramula.pdf","TRUE"
"JK","Doda",2020-12-15 13:11:00,104,"Doda.pdf","TRUE"
"JK","Ganderbal",2020-12-15 13:11:00,104,"Ganderbal.pdf","TRUE"
"JK","Jammu",2020-12-15 13:11:00,104,"Jammu.pdf","TRUE"
"JK","Kathua",2020-12-15 13:11:00,104,"Kathua.pdf","TRUE"
"JK","Kishtwar",2020-12-15 13:11:00,104,"Kishtwar.pdf","TRUE"
"JK","Kulgam",2020-12-15 13:11:00,104,"Kulgam.pdf","TRUE"
"JK","Kupwara",2020-12-15 13:11:00,104,"Kupwara.pdf","TRUE"
"JK","Pulwama",2020-12-15 13:11:00,104,"Pulwama.pdf","TRUE"
"JK","Punch",2020-12-15 13:11:00,104,"Punch.pdf","TRUE"
"JK","Rajouri",2020-12-15 13:11:00,104,"Rajouri.pdf","TRUE"
"JK","Ramban",2020-12-15 13:11:00,104,"Ramban.pdf","TRUE"
"JK","Reasi",2020-12-15 13:11:00,104,"Reasi.pdf","TRUE"
"JK","Samba",2020-12-15 13:11:00,104,"Samba.pdf","TRUE"
"JK","Shupiyan",2020-12-15 13:11:00,104,"Shupiyan.pdf","TRUE"
"JK","Srinagar",2020-12-15 13:11:00,104,"Srinagar.pdf","TRUE"
"JK","Udhampur",2020-12-15 13:11:00,104,"Udhampur.pdf","TRUE"
"KA","Bagalkot",2020-12-15 13:11:00,104,"Bagalkot.pdf","TRUE"
"KA","Bangalore",2020-12-15 13:11:00,104,"Bangalore.pdf","TRUE"
"KA","Bangalore Rural",2020-12-15 13:11:00,104,"Bangalore Rural.pdf","TRUE"
"KA","Belgaum",2020-12-15 13:11:00,104,"Belgaum.pdf","TRUE"
"KA","Bellary",2020-12-15 13:11:00,104,"Bellary.pdf","TRUE"
"KA","Bidar",2020-12-15 13:11:00,104,"Bidar.pdf","TRUE"
"KA","Bijapur",2020-12-15 13:11:00,104,"Bijapur.pdf","TRUE"
"KA","Chamarajanagar",2020-12-15 13:11:00,104,"Chamarajanagar.pdf","TRUE"
"KA","Chikkaballapura",2020-12-15 13:11:00,104,"Chikkaballapura.pdf","TRUE"
"KA","Chikmagalur",2020-12-15 13:11:00,104,"Chikmagalur.pdf","TRUE"
"KA","Chitradurga",2020-12-15 13:11:00,104,"Chitradurga.pdf","TRUE"
"KA","Dakshina Kannada",2020-12-15 13:11:00,104,"Dakshina Kannada.pdf","TRUE"
"KA","Davanagere",2020-12-15 13:11:00,104,"Davanagere.pdf","TRUE"
"KA","Dharwad",2020-12-15 13:11:00,104,"Dharwad.pdf","TRUE"
"KA","Gadag",2020-12-15 13:11:00,104,"Gadag.pdf","TRUE"
"KA","Gulbarga",2020-12-15 13:11:00,104,"Gulbarga.pdf","TRUE"
"KA","Hassan",2020-12-15 13:11:00,104,"Hassan.pdf","TRUE"
"KA","Haveri",2020-12-15 13:11:00,104,"Haveri.pdf","TRUE"
"KA","Kodagu",2020-12-15 13:11:00,104,"Kodagu.pdf","TRUE"
"KA","Kolar",2020-12-15 13:11:00,104,"Kolar.pdf","TRUE"
"KA","Koppal",2020-12-15 13:11:00,104,"Koppal.pdf","TRUE"
"KA","Mandya",2020-12-15 13:11:00,104,"Mandya.pdf","TRUE"
"KA","Mysore",2020-12-15 13:11:00,104,"Mysore.pdf","TRUE"
"KA","Raichur",2020-12-15 13:11:00,104,"Raichur.pdf","TRUE"
"KA","Ramanagara",2020-12-15 13:11:00,104,"Ramanagara.pdf","TRUE"
"KA","Shimoga",2020-12-15 13:11:00,104,"Shimoga.pdf","TRUE"
"KA","Tumkur",2020-12-15 13:11:00,104,"Tumkur.pdf","TRUE"
"KA","Udupi",2020-12-15 13:11:00,104,"Udupi.pdf","TRUE"
"KA","Uttara Kannada",2020-12-15 13:11:00,104,"Uttara Kannada.pdf","TRUE"
"KA","Yadgir",2020-12-15 13:11:00,104,"Yadgir.pdf","TRUE"
"KL","Alappuzha",2020-12-15 13:11:00,104,"Alappuzha.pdf","TRUE"
"KL","Ernakulam",2020-12-15 13:11:00,104,"Ernakulam.pdf","TRUE"
"KL","Idukki",2020-12-15 13:11:00,104,"Idukki.pdf","TRUE"
"KL","Kannur",2020-12-15 13:11:00,104,"Kannur.pdf","TRUE"
"KL","Kasaragod",2020-12-15 13:11:00,104,"Kasaragod.pdf","TRUE"
"KL","Kollam",2020-12-15 13:11:00,104,"Kollam.pdf","TRUE"
"KL","Kottayam",2020-12-15 13:11:00,104,"Kottayam.pdf","TRUE"
"KL","Kozhikode",2020-12-15 13:11:00,104,"Kozhikode.pdf","TRUE"
"KL","Malappuram",2020-12-15 13:11:00,104,"Malappuram.pdf","TRUE"
"KL","Palakkad",2020-12-15 13:11:00,104,"Palakkad.pdf","TRUE"
"KL","Pathanamthitta",2020-12-15 13:11:00,104,"Pathanamthitta.pdf","TRUE"
"KL","Thiruvananthapuram",2020-12-15 13:11:00,104,"Thiruvananthapuram.pdf","TRUE"
"KL","Thrissur",2020-12-15 13:11:00,104,"Thrissur.pdf","TRUE"
"KL","Wayanad",2020-12-15 13:11:00,104,"Wayanad.pdf","TRUE"
"LH","Kargil",2020-12-15 13:11:00,104,"Kargil.pdf","TRUE"
"LH","Leh (Ladakh)",2020-12-15 13:11:00,104,"Leh (Ladakh).pdf","TRUE"
"MH","Ahmednagar",2020-12-15 13:11:00,104,"Ahmednagar.pdf","TRUE"
"MH","Akola",2020-12-15 13:11:00,104,"Akola.pdf","TRUE"
"MH","Amravati",2020-12-15 13:11:00,104,"Amravati.pdf","TRUE"
"MH","Aurangabad",2020-12-15 13:11:00,104,"Aurangabad.pdf","TRUE"
"MH","Bid",2020-12-15 13:11:00,104,"Bid.pdf","TRUE"
"MH","Bhandara",2020-12-15 13:11:00,104,"Bhandara.pdf","TRUE"
"MH","Buldana",2020-12-15 13:11:00,104,"Buldana.pdf","TRUE"
"MH","Chandrapur",2020-12-15 13:11:00,104,"Chandrapur.pdf","TRUE"
"MH","Gadchiroli",2020-12-15 13:11:00,104,"Gadchiroli.pdf","TRUE"
"MH","Gondiya",2020-12-15 13:11:00,104,"Gondiya.pdf","TRUE"
"MH","Hingoli",2020-12-15 13:11:00,104,"Hingoli.pdf","TRUE"
"MH","Jalgaon",2020-12-15 13:11:00,104,"Jalgaon.pdf","TRUE"
